""	"rateTrain"	"rateAirplane"	"Attractiveness"	"ManipDest"	"ManipInfo"	"ManipTax"	"PreferTrain"	"PreferAirplane"	"ImportPrice"	"ImportTime"	"ImportComfort"	"SchipholTrain"	"SchipholCar"	"CO2Comp"	"CO2Comp5E"	"CO2Comp7E"	"CO2CompMax"	"Nep01"	"Nep02"	"Nep03"	"Nep04"	"Nep05"	"Bif01"	"Bif02"	"Bif03"	"Bif04"	"Bif05"	"Bif06"	"Bif07"	"Guilt01"	"Guilt02"	"Guilt03"	"Guilt04"	"Guilt05"	"Big01"	"Big02"	"Big03"	"Big04"	"Big05"	"Big06"	"Big07"	"Big08"	"Big09"	"Big10"	"dGender"	"YrBirth"	"dIBA"	"SatFac"	"HrPWork"	"HrVWork"	"HrClass"	"HrStud"	"cLiving"	"cLocate"	"dPreMas"	"dSports"	"dFraternity"	"dAssoc"	"dAbroad"	"CheckDest"	"CheckInfo"	"CheckTax"	"avgEnvironBelief"	"avgGuiltFeel"	"avgPersonal"	"f.ManipInfo"
"348"	30	70	35	"Berlin"	2	1	40	60	55	35	10	2	1	1	1	1	20	6	2	1	5	7	2	1	2	1	1	2	1	4	5	2	2	2	2	5	1	2	1	5	3	4	4	4	2	1998	1	80	9	5	8	30	1	4	1	2	2	1	1	2	1	1	5.8	4.2	3.75	"No"
"349"	10	90	50	"Berlin"	1	1	30	70	50	80	70	1	2	2	1	1	10	5	6	2	3	6	1	2	2	1	2	2	2	1	3	5	4	5	4	3	4	5	1	2	3	2	2	4	1	1998	1	85	24	0	10	1	3	1	2	1	2	2	2	2	2	1	4.8	1.6	2.875	"Yes"
"350"	46	45	95	"Londen"	1	1	38	43	42	43	37	2	1	1	1	1	50	4	4	4	4	4	1	1	1	1	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	1999	1	22	20	0	20	60	3	3	2	1	2	2	1	1	1	2	4	3	3	"Yes"
"351"	15	85	75	"Marseille"	2	2	60	49	80	70	24	2	5	2	1	2	5	3	3	2	4	6	2	1	1	1	2	1	1	2	4	3	2	2	4	3	3	4	2	5	2	4	2	5	2	1999	1	60	16	0	8	2	5	1	2	1	2	1	2	3	1	2	4.8	3.4	3.625	"No"
"352"	20	80	75	"Berlin"	1	3	30	70	80	60	40	3	2	2	1	2	5	2	4	3	5	3	2	1	2	1	2	1	1	2	4	2	4	4	3	5	1	4	1	5	2	4	2	4	1	1998	1	70	10	0	10	30	1	2	2	1	1	2	2	2	2	3	3.4	2.8	4.25	"Yes"
"353"	24	76	82	"Londen"	2	3	30	53	39	55	44	3	2	1	1	1	15	6	2	2	5	7	2	1	2	1	1	1	2	1	4	4	1	3	1	2	2	2	5	5	4	3	4	3	1	1999	2	85	8	12	12	26	5	1	2	1	2	1	2	1	1	2	5.6	3	3.125	"No"
"354"	10	100	82	"Marseille"	2	2	50	68	100	42	11	4	5	1	1	2	5	5	2	1	2	7	2	1	1	1	1	1	1	1	3	4	4	4	3	5	4	3	4	5	3	4	3	5	2	1999	1	17	20	0	5	4	1	1	2	1	2	2	2	3	1	2	6.2	2	3.5	"No"
"355"	60	80	50	"Londen"	2	1	80	40	90	50	50	3	4	1	1	1	20	3	3	2	5	4	1	2	1	1	2	1	2	2	3	4	2	4	3	4	4	3	4	2	3	3	4	5	1	2000	1	70	6	0	8	5	3	4	2	2	2	2	2	1	1	1	4.2	2.6	2.75	"No"
"356"	20	80	50	"Londen"	2	2	80	20	75	75	29	2	3	2	2	2	0	5	4	2	6	6	2	1	1	1	1	1	1	4	4	2	5	5	4	5	4	5	3	4	1	5	1	4	1	1997	1	90	10	0	10	20	3	2	1	2	2	1	2	1	1	2	4.6	2.8	4.125	"No"
"357"	40	82	91	"Londen"	2	3	29	82	51	74	61	3	2	1	1	1	10	3	2	3	5	4	2	1	2	1	1	1	1	1	2	4	4	5	1	5	4	4	4	5	2	4	2	4	1	1997	1	86	10	0	8	5	2	2	1	1	2	2	1	1	1	3	4.2	1.6	4.125	"No"
